n,trial,algorithm,num_bins,total_size,waste
10000,5,BF,1753,1745.9169660292746,7.08303397072541
10000,5,FFD,1746,1745.9169660292746,0.08303397072540974
10000,5,BFD,1746,1745.9169660292819,0.08303397071813379
10000,6,NF,1974,1746.965402139108,227.03459786089206
10000,6,FF,1755,1746.965402139108,8.034597860892063
10000,6,BF,1754,1746.965402139108,7.034597860892063
10000,6,FFD,1748,1746.965402139108,1.0345978608920632
10000,6,BFD,1748,1746.9654021391066,1.0345978608934274
10000,7,NF,1987,1756.0440791266321,230.95592087336786
10000,7,FF,1764,1756.0440791266321,7.955920873367859
10000,7,BF,1763,1756.0440791266321,6.955920873367859
10000,7,FFD,1757,1756.0440791266321,0.9559208733678588
10000,7,BFD,1757,1756.0440791266242,0.9559208733758169
10000,8,NF,1992,1754.0268076021923,237.97319239780768
10000,8,FF,1762,1754.0268076021923,7.973192397807679
10000,8,BF,1761,1754.0268076021923,6.973192397807679
10000,8,FFD,1755,1754.0268076021923,0.9731923978076793
10000,8,BFD,1755,1754.0268076021894,0.9731923978106352
10000,9,NF,1988,1747.4645453179796,240.53545468202037
10000,9,FF,1756,1747.4645453179796,8.535454682020372
10000,9,BF,1754,1747.4645453179796,6.535454682020372
10000,9,FFD,1748,1747.4645453179796,0.5354546820203723
10000,9,BFD,1748,1747.4645453179737,0.535454682026284
10000,10,NF,1974,1747.4905684133519,226.50943158664813
10000,10,FF,1756,1747.4905684133519,8.509431586648134
10000,10,BF,1755,1747.4905684133519,7.509431586648134
10000,10,FFD,1748,1747.4905684133519,0.5094315866481338
10000,10,BFD,1748,1747.4905684133528,0.5094315866472243
10000,11,NF,1974,1747.53762181091,226.46237818909003
10000,11,FF,1756,1747.53762181091,8.462378189090032
10000,11,BF,1755,1747.53762181091,7.462378189090032
10000,11,FFD,1748,1747.53762181091,0.4623781890900318
10000,11,BFD,1748,1747.537621810902,0.4623781890979899
10000,12,NF,1980,1745.285226708481,234.7147732915189
10000,12,FF,1753,1745.285226708481,7.714773291518895
10000,12,BF,1751,1745.285226708481,5.714773291518895
10000,12,FFD,1746,1745.285226708481,0.7147732915188953
10000,12,BFD,1746,1745.2852267084884,0.7147732915116194
10000,13,NF,1951,1724.366992732845,226.6330072671551
10000,13,FF,1732,1724.366992732845,7.633007267155108
10000,13,BF,1730,1724.366992732845,5.633007267155108
10000,13,FFD,1725,1724.366992732845,0.6330072671551079
10000,13,BFD,1725,1724.3669927328476,0.6330072671523794
10000,14,NF,1987,1754.6498676093709,232.35013239062914
10000,14,FF,1764,1754.6498676093709,9.350132390629142
10000,14,BF,1763,1754.6498676093709,8.350132390629142
10000,14,FFD,1755,1754.6498676093709,0.3501323906291418
10000,14,BFD,1755,1754.649867609379,0.35013239062095636
10000,15,NF,1982,1748.7938738428047,233.20612615719529
10000,15,FF,1757,1748.7938738428047,8.206126157195285
10000,15,BF,1755,1748.7938738428047,6.2061261571952855
10000,15,FFD,1749,1748.7938738428047,0.2061261571952855
10000,15,BFD,1749,1748.7938738428,0.20612615720006033
10000,16,NF,1953,1734.1141401366203,218.88585986337966
10000,16,FF,1743,1734.1141401366203,8.885859863379665
10000,16,BF,1742,1734.1141401366203,7.885859863379665
10000,16,FFD,1735,1734.1141401366203,0.8858598633796646
10000,16,BFD,1735,1734.1141401366258,0.8858598633742076
10000,17,NF,1999,1764.690885205359,234.3091147946409
10000,17,FF,1773,1764.690885205359,8.309114794640891
10000,17,BF,1771,1764.690885205359,6.309114794640891
10000,17,FFD,1765,1764.690885205359,0.309114794640891
10000,17,BFD,1765,1764.6908852053587,0.3091147946413457
10000,18,NF,1967,1739.8649377334025,227.13506226659752
10000,18,FF,1748,1739.8649377334025,8.135062266597515
10000,18,BF,1746,1739.8649377334025,6.135062266597515
10000,18,FFD,1740,1739.8649377334025,0.1350622665975152
10000,18,BFD,1740,1739.8649377334036,0.13506226659637832
10000,19,NF,1999,1762.7980702286975,236.2019297713025
10000,19,FF,1772,1762.7980702286975,9.201929771302503
10000,19,BF,1770,1762.7980702286975,7.201929771302503
10000,19,FFD,1763,1762.7980702286975,0.20192977130250256
10000,19,BFD,1763,1762.7980702286936,0.2019297713063679
1000,0,NF,196,172.26308440266604,23.73691559733396
1000,0,FF,175,172.26308440266604,2.7369155973339616
1000,0,BF,174,172.26308440266604,1.7369155973339616
1000,0,FFD,173,172.26308440266604,0.7369155973339616
1000,0,BFD,173,172.26308440266635,0.736915597333649
1000,1,NF,203,178.3223643954232,24.677635604576807
1000,1,FF,180,178.3223643954232,1.6776356045768068
1000,1,BF,180,178.3223643954232,1.6776356045768068
1000,1,FFD,179,178.3223643954232,0.6776356045768068
1000,1,BFD,179,178.3223643954234,0.6776356045766079
1000,2,NF,197,171.31474694983064,25.685253050169365
1000,2,FF,173,171.31474694983064,1.685253050169365
1000,2,BF,173,171.31474694983064,1.685253050169365
1000,2,FFD,172,171.31474694983064,0.685253050169365
1000,2,BFD,172,171.31474694983015,0.6852530501698482
